class_161,advancement.Advancement
class_175,advancement.AdvancementCriterion
class_185,advancement.AdvancementDisplay
class_8005,advancement.AdvancementDisplays
class_8779,advancement.AdvancementEntry
class_189,advancement.AdvancementFrame
class_163,advancement.AdvancementManager
class_194,advancement.AdvancementPositioner
class_167,advancement.AdvancementProgress
class_8782,advancement.AdvancementRequirements
class_170,advancement.AdvancementRewards
class_4558,advancement.criterion.AbstractCriterion
class_9104,advancement.criterion.AnyBlockUseCriterion
class_4708,advancement.criterion.BeeNestDestroyedCriterion
class_196,advancement.criterion.BredAnimalsCriterion
class_1996,advancement.criterion.BrewedPotionCriterion
class_1999,advancement.criterion.ChangedDimensionCriterion
class_2002,advancement.criterion.ChanneledLightningCriterion
class_2006,advancement.criterion.ConstructBeaconCriterion
class_2010,advancement.criterion.ConsumeItemCriterion
class_174,advancement.criterion.Criteria
class_179,advancement.criterion.Criterion
class_184,advancement.criterion.CriterionConditions
class_178,advancement.criterion.CriterionProgress
class_2014,advancement.criterion.CuredZombieVillagerCriterion
class_9107,advancement.criterion.DefaultBlockUseCriterion
class_2027,advancement.criterion.EffectsChangedCriterion
class_2030,advancement.criterion.EnchantedItemCriterion
class_2037,advancement.criterion.EnterBlockCriterion
class_2044,advancement.criterion.EntityHurtPlayerCriterion
class_2054,advancement.criterion.FilledBucketCriterion
class_2058,advancement.criterion.FishingRodHookedCriterion
class_2062,advancement.criterion.ImpossibleCriterion
class_2066,advancement.criterion.InventoryChangedCriterion
class_4711,advancement.criterion.ItemCriterion
class_2069,advancement.criterion.ItemDurabilityChangedCriterion
class_2076,advancement.criterion.KilledByCrossbowCriterion
class_2085,advancement.criterion.LevitationCriterion
class_6405,advancement.criterion.LightningStrikeCriterion
class_2080,advancement.criterion.OnKilledCriterion
class_5282,advancement.criterion.PlayerGeneratesContainerLootCriterion
class_2115,advancement.criterion.PlayerHurtEntityCriterion
class_5409,advancement.criterion.PlayerInteractedWithEntityCriterion
class_8508,advancement.criterion.RecipeCraftedCriterion
class_2119,advancement.criterion.RecipeUnlockedCriterion
class_2123,advancement.criterion.ShotCrossbowCriterion
class_4713,advancement.criterion.SlideDownBlockCriterion
class_6407,advancement.criterion.StartedRidingCriterion
class_2128,advancement.criterion.SummonedEntityCriterion
class_2131,advancement.criterion.TameAnimalCriterion
class_4851,advancement.criterion.TargetHitCriterion
class_5279,advancement.criterion.ThrownItemPickedUpByEntityCriterion
class_2135,advancement.criterion.TickCriterion
class_2108,advancement.criterion.TravelCriterion
class_2143,advancement.criterion.UsedEnderEyeCriterion
class_2148,advancement.criterion.UsedTotemCriterion
class_6409,advancement.criterion.UsingItemCriterion
class_2140,advancement.criterion.VillagerTradeCriterion
class_8781,advancement.PlacedAdvancement
class_2985,advancement.PlayerAdvancementTracker
class_2185,block.AbstractBannerBlock
class_4970,block.AbstractBlock
class_5540,block.AbstractCandleBlock
class_2275,block.AbstractCauldronBlock
class_4739,block.AbstractChestBlock
class_4770,block.AbstractFireBlock
class_2363,block.AbstractFurnaceBlock
class_4864,block.AbstractPlantBlock
class_4863,block.AbstractPlantPartBlock
class_4865,block.AbstractPlantStemBlock
class_2231,block.AbstractPressurePlateBlock
class_2241,block.AbstractRailBlock
class_2312,block.AbstractRedstoneGateBlock
class_2478,block.AbstractSignBlock
class_2190,block.AbstractSkullBlock
class_8810,block.AbstractTorchBlock
class_2189,block.AirBlock
class_5541,block.AmethystBlock
class_5542,block.AmethystClusterBlock
class_2199,block.AnvilBlock
class_2195,block.AttachedStemBlock
class_5800,block.AzaleaBlock
class_2211,block.BambooBlock
class_2202,block.BambooShootBlock
class_2215,block.BannerBlock
class_3708,block.BarrelBlock
class_2213,block.BarrierBlock
class_2238,block.BeaconBlock
class_2244,block.BedBlock
class_4481,block.BeehiveBlock
class_2242,block.BeetrootsBlock
class_3709,block.BellBlock
class_5801,block.BigDripleafBlock
class_5802,block.BigDripleafStemBlock
class_3710,block.BlastFurnaceBlock
class_2248,block.Block
class_2343,block.BlockEntityProvider
class_8803,block.BlockKeys
class_2464,block.BlockRenderType
class_2246,block.Blocks
class_8177,block.BlockSetType
class_2680,block.BlockState
class_8811,block.BlockTypes
class_2237,block.BlockWithEntity
class_2260,block.BrewingStandBlock
class_8170,block.BrushableBlock
class_2258,block.BubbleColumnBlock
class_5543,block.BuddingAmethystBlock
class_8922,block.BulbBlock
class_2269,block.ButtonBlock
class_2266,block.CactusBlock
class_2272,block.CakeBlock
class_8236,block.CalibratedSculkSensorBlock
class_3922,block.CampfireBlock
class_5544,block.CandleBlock
class_5545,block.CandleCakeBlock
class_2577,block.CarpetBlock
class_2271,block.CarrotsBlock
class_3711,block.CartographyTableBlock
class_2276,block.CarvedPumpkinBlock
class_5620,block.cauldron.CauldronBehavior
class_5546,block.CauldronBlock
class_5803,block.CaveVines
class_5804,block.CaveVinesBodyBlock
class_5805,block.CaveVinesHeadBlock
class_5172,block.ChainBlock
class_8167,block.CherryLeavesBlock
class_2281,block.ChestBlock
class_7714,block.ChiseledBookshelfBlock
class_2279,block.ChorusFlowerBlock
class_2283,block.ChorusPlantBlock
class_2560,block.CobwebBlock
class_2282,block.CocoaBlock
class_8812,block.ColoredFallingBlock
class_2288,block.CommandBlock
class_2286,block.ComparatorBlock
class_3962,block.ComposterBlock
class_2292,block.ConcretePowderBlock
class_2289,block.ConduitBlock
class_2429,block.ConnectingBlock
class_2301,block.CoralBlock
class_2298,block.CoralBlockBlock
class_2297,block.CoralFanBlock
class_2230,block.CoralParentBlock
class_2299,block.CoralWallFanBlock
class_8886,block.CrafterBlock
class_2304,block.CraftingTableBlock
class_2302,block.CropBlock
class_4848,block.CryingObsidianBlock
class_2309,block.DaylightDetectorBlock
class_2311,block.DeadBushBlock
class_2217,block.DeadCoralBlock
class_2221,block.DeadCoralFanBlock
class_2222,block.DeadCoralWallFanBlock
class_8168,block.DecoratedPotBlock
class_8173,block.DecoratedPotPatterns
class_5547,block.Degradable
